id	filename	md5	size	state
5a278a81-387b-404e-a14e-7b0672ae3ca4	nationwidechildrens.org_clinical.TCGA-50-5935.xml	aa58ec15250d5b4a6a389c44fcaa6ef4	39355	released
45cc7517-5af2-4f2c-8310-27b78d06a44c	nationwidechildrens.org_clinical.TCGA-91-6848.xml	529e6800d7d4658c06dea15345c6d777	46144	released
01a793b9-6c33-442d-bfcd-a0dffaf65374	nationwidechildrens.org_clinical.TCGA-55-6986.xml	602e584b156ce8368abd07313ab30069	34571	released
88885dc7-5edd-4fac-95f8-9586880078a8	0b55cf48-41ca-4d54-a6c6-fa15c711370b.rna_seq.augmented_star_gene_counts.tsv	b3cf7fc9464e8e89d495db0609e12625	4230633	released
690067c4-51de-4375-a825-2e24414d366f	nationwidechildrens.org_clinical.TCGA-44-3917.xml	d8bb4e30afc6efea32f63bd158ca2ee6	43045	released
8891b54a-5ad1-4c07-824e-ff6ade92c7de	nationwidechildrens.org_clinical.TCGA-73-4677.xml	dd6be0f4ea1ed2b711899bc722057d46	34273	released
c140ee8e-c45f-47fb-b214-c3c8cdde972e	b5909b96-7ef6-497a-802e-11805dc7ded7.rna_seq.augmented_star_gene_counts.tsv	c8a1f9e2ec7fa72254b4a3d602c5e39f	4225356	released
b57fb9b4-1673-4493-a248-9577ad70dc5d	nationwidechildrens.org_clinical.TCGA-78-7540.xml	4c89bba545a148dcdb2ccc828b731759	42096	released
9f5ca565-41d7-471a-a05d-005d2e44ec53	nationwidechildrens.org_clinical.TCGA-64-5775.xml	924349946b1383492485677ff4dcd47f	46694	released
458042ad-bec8-4433-80da-70f517a440f7	25a6fe1b-0472-489f-a721-f596395badb1.rna_seq.augmented_star_gene_counts.tsv	bbedd91fbaa3ea10504bcfe4ae3b89dc	4255526	released
5cc1af60-40f0-4cbe-8596-54bc3afd125d	nationwidechildrens.org_clinical.TCGA-55-8615.xml	695a06b9988ffa5a56857335b079b0bc	63436	released
4c2a4d47-67dd-4c12-8f3b-1c55eb6fd00e	c6bf25d8-abea-411f-bb80-6e6fefb82757.rna_seq.augmented_star_gene_counts.tsv	f895fefd4930b04b87c8e4ea8b1c598a	4233205	released
cb59cd67-2756-45e1-80c7-67ad6d6823d4	d0966b4b-6c70-41f6-a220-4bf8be955366.rna_seq.augmented_star_gene_counts.tsv	c0aee93101616db06b16450401fb1616	4261106	released
bd8a1d5b-7979-4aec-bbd6-47065bfd6a5d	nationwidechildrens.org_clinical.TCGA-86-7954.xml	96ffeab7acfe3838cdecacaf31319a78	46720	released
3f7ec650-057d-4e1c-9f31-9bf186a73869	nationwidechildrens.org_clinical.TCGA-86-8674.xml	81b8a38437cfcebda6a6ca2958397ea9	55120	released
3c2d2bc6-725b-46dc-9be8-b6dd8b6df459	nationwidechildrens.org_clinical.TCGA-86-7955.xml	7a15cb8787b09a167ee6cfbf911cc326	76168	released
97541ffe-94e7-4130-9bac-65528de8d6f5	c4115468-0566-49e2-a86f-9c7faf6388f5.rna_seq.augmented_star_gene_counts.tsv	045d74c1879f0e7d28551f80a97be495	4246611	released
8cfea85a-00ee-45f5-9660-14d77e720a68	nationwidechildrens.org_clinical.TCGA-67-3771.xml	5dc8a206a875bb6736fa69d3e2811c7b	26396	released
661b6fed-d56a-452b-adaa-4b48ee9f4dbb	bc46dd0e-3136-4d9b-8fc3-dee56d6e39cf.rna_seq.augmented_star_gene_counts.tsv	2ea130a0ae67c870c7772cf2a3ea3214	4242369	released
663c884d-d588-4e29-a9ae-336c86a7aad6	nationwidechildrens.org_clinical.TCGA-38-4625.xml	b1ada909d1ac21c077187fd21aa4af4f	42601	released
242a2880-95da-453f-892d-fafd49a4865e	9301f86d-9d6f-4aa6-a640-a543b5aea5db.rna_seq.augmented_star_gene_counts.tsv	db04ade49f3788d672b6dee1d122c3e7	4261912	released
7c127b9f-6adc-4761-a4df-4e9d7faff22a	nationwidechildrens.org_clinical.TCGA-86-8054.xml	4076ec5f789982802d9212da7944270a	55145	released
51c0568a-3e54-42a0-b805-0a90905cc865	b8ae4b22-83b8-4cbf-9d3c-49092b7e0903.rna_seq.augmented_star_gene_counts.tsv	f09d3d552cccd909ac125dafe5b52032	4248243	released
b83ef333-640b-4b8c-a757-f71dc5e1899a	nationwidechildrens.org_clinical.TCGA-55-8089.xml	1836122e843c326e5d446db7afef54ed	35421	released
8af996d7-2c5e-4d17-b1a5-8751f4784eba	14aca23b-01ce-4532-8f2f-3b22b05a4757.rna_seq.augmented_star_gene_counts.tsv	7166bdae4df12eeb3a95dacf75e4ad73	4252855	released
8d308359-6f2a-4c2a-a2e7-b1a3b8d79de9	4772e349-a753-4c41-9c48-ae3af0f58520.rna_seq.augmented_star_gene_counts.tsv	09a0040484a54a2677585e08ab623437	4227978	released
